ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20305.0190861064	171	-179.999528841472	0	2.3899410843155	2.3937203811606	2.39330520084783	297.003566863947	297.108838724675	22.6291073794475	22.6074535846165	63.9530537051694
20306.1390861064	169	-179.99990945168	0	2.43698630618714	2.44082108197724	2.44034317475569	298.4857098527	298.592258446415	22.5797892892226	22.5595807282976	63.3116719346856
20306.6990861064	169	-179.999703356964	0	2.46046791909929	2.46433093262016	2.4638202102834	299.233348656402	299.340533196963	22.5556330540267	22.536217884749	62.9970505442979
20307.8190861065	167	-179.99966013803	0	2.5073457748142	2.51126945078144	2.51069027336385	300.740980384082	300.849296195861	22.5083940576193	22.4905908189581	62.3803507274818
20308.9390861065	165	179.999845059488	0	2.55410851944026	2.55809541828957	2.55744412533892	302.263989737122	302.373334323716	22.4628350647318	22.446533292907	61.7774377503909
20310.0590861065	164	-179.999930828526	0	2.60075233782415	2.60480731489481	2.60408037549414	303.801163460085	303.911463875596	22.4189436144393	22.4042287919907	61.1218577490973
20311.1790861065	162	179.99997179961	0	2.64727805038992	2.65140249136879	2.65059650209802	305.351388427629	305.46260277538	22.3768554765981	22.3636947861122	60.4853321439198
20312.2990861066	161	179.999848121851	0	2.69368271333787	2.69788104039066	2.69699272868265	306.91359022376	307.025615986096	22.3365427953363	22.3249916317452	59.867557198528
20313.4190861066	159	-179.999593391253	0	2.73996711421348	2.74424231946053	2.74326854098416	308.486760285224	308.599530960128	22.2980923459853	22.2880986913428	59.2680465550917
20314.5390861066	158	-179.999824525109	0	2.78613088751077	2.79048569323582	2.78942343287025	310.069973251485	310.183442846808	22.2614031591753	22.2528879755097	58.6863125994352
20315.0990861066	157	-179.999874405283	0	2.8091676166594	2.8135641301562	2.81245653816053	310.865070548795	310.978820236244	22.2437062668328	22.2359485048974	58.4019601779685
20316.2190861067	156	179.999971916167	0	2.85515271613862	2.85963304501435	2.85843268971277	312.461655676165	312.576029742888	22.2096669238408	22.2033426595928	57.8458599888711
20317.3390861067	154	-179.999749458527	0	2.90101907335961	2.90558620040934	2.90429038484802	314.066124722037	314.181023795026	22.1773043283999	22.172452766605	57.3061188280989
20318.4590861067	153	-179.999873428237	0	2.94676864253468	2.9514259088722	2.95003206292972	315.677719240856	315.793104076821	22.1466011713108	22.1430984286155	56.7821477491402
20319.5790861067	152	179.999952097287	0	2.99240353590688	2.99715346009088	2.99565913988462	317.295655198001	317.411456398881	22.1174355210793	22.1152995521833	56.2733557358352
20320.6990861068	150	-179.999805965968	0	3.03792536403481	3.04276976959778	3.0411726522127	318.919245341155	319.035457503521	22.0897685504017	22.089023819495	55.7791366710379
20321.8190861068	149	-179.999845415092	0	3.08333615698492	3.08827726311185	3.08657514796759	320.547848487449	320.664362974653	22.0635837924857	22.0641239806567	55.2989127610689
20322.3790861068	149	-179.999878974762	0	3.1060006485748	3.1109916308378	3.10923622884819	321.363793803327	321.480484453976	22.0510460727773	22.052190796483	55.0638957459953
20323.4990861068	147	-179.999840693982	0	3.15125008368504	3.15634095291088	3.15447747728006	322.998677707316	323.115607952542	22.026917466511	22.0293138116739	54.6036431558514
